Date,Close,High,Low,Open,Volume,MA_5,MA_10,MA_20,MA_50,Daily_Return,Volatility,Close_1,Close_2,Close_3,Close_5,Target
2018-03-14,56.97219467163086,57.42321996909545,56.57321220901155,56.76006803142522,25828000,56.88050155639648,55.42270431518555,55.13955154418945,55.11841796875,0.009945805479934178,0.015776773099425795,56.41114044189453,57.71612930297852,57.49508285522461,54.99710464477539,56.97665023803711
2018-03-15,56.97665023803711,57.54662566044222,56.23122358979444,56.99548518180523,27908000,57.11423950195312,55.819505310058595,55.33750591278076,55.20225868225098,7.820598156582648e-05,0.015538092516618775,56.97219467163086,56.41114044189453,57.71612930297852,55.80796051025391,56.29020309448242
2018-03-16,56.29020309448242,57.28889756261432,56.10335106900717,57.20265991148329,61840000,56.87326354980469,56.10107231140137,55.45202102661133,55.255043258666994,-0.012047867691183156,0.015508845276482743,56.97665023803711,56.97219467163086,56.41114044189453,57.49508285522461,54.510398864746094
2018-03-19,54.510398864746094,55.60920859990042,53.97462201188917,55.511074793568646,56118000,56.2321174621582,56.145133590698244,55.46446132659912,55.26834602355957,-0.03161836575272159,0.017228657096715817,56.29020309448242,56.97665023803711,56.97219467163086,57.71612930297852,54.40582275390625
2018-03-20,54.40582275390625,54.77704625249041,53.699548229413,54.469757958588445,36638000,55.83105392456055,56.158268737792966,55.45268993377685,55.263865585327146,-0.0019184616700259616,0.0171634013149117,54.510398864746094,56.29020309448242,56.97665023803711,56.41114044189453,54.06729888916016
2018-03-21,54.06729888916016,54.83156046647603,53.783303789870494,54.15948839332347,37578000,55.250074768066405,56.06528816223145,55.40198669433594,55.24794578552246,-0.0062221991619781924,0.017104270909835635,54.40582275390625,54.510398864746094,56.29020309448242,56.97219467163086,51.99557495117188
2018-03-22,51.99557495117188,53.6717982711662,51.83846328348455,53.62124528829508,53340000,54.25385971069336,55.68404960632324,55.259369468688966,55.19126564025879,-0.03831750393588895,0.019052538757474317,54.06729888916016,54.40582275390625,54.510398864746094,56.97665023803711,50.63208770751953
2018-03-23,50.63208770751953,52.70332651248,50.614742618704646,51.89396466161055,43134000,53.12223663330078,54.99775009155273,54.99861812591553,55.11093368530273,-0.02622314004475912,0.019101432109139595,51.99557495117188,54.06729888916016,54.40582275390625,56.29020309448242,52.20026779174805
2018-03-26,52.20026779174805,52.32021247802906,49.979347477366765,51.84291808532892,53302000,52.66021041870117,54.446163940429685,54.77424621582031,55.059080810546874,0.030972060510070953,0.020264829705977292,50.63208770751953,51.99557495117188,54.06729888916016,54.510398864746094,49.8157958984375
2018-03-27,49.8157958984375,52.77664127588541,49.41036997359885,52.68549540823093,61906000,51.74220504760742,53.78662948608398,54.49374485015869,54.94294502258301,-0.04567930384616703,0.021984086879936523,52.20026779174805,50.63208770751953,51.99557495117188,54.40582275390625,49.78902816772461
2018-03-28,49.78902816772461,50.76393041471452,48.60348157250914,49.46389563274671,67386000,50.88655090332031,53.06831283569336,54.24550857543945,54.826769256591795,-0.0005373341975196677,0.021941565655265713,49.8157958984375,52.20026779174805,50.63208770751953,54.06729888916016,51.13862609863281
2018-03-29,51.13862609863281,51.69422861219618,49.70675055754238,50.13943624355361,54536000,50.7151611328125,52.48451042175293,54.15200786590576,54.727454833984375,0.027106332069021466,0.022033787442098066,49.78902816772461,49.8157958984375,52.20026779174805,51.99557495117188,49.88369369506836
2018-04-02,49.88369369506836,51.28781412504311,49.085728780435566,50.69404633946117,53608000,50.56548233032227,51.84385948181152,53.972465896606444,54.605212707519534,-0.02453981460401422,0.022465867495397418,51.13862609863281,49.78902816772461,49.8157958984375,50.63208770751953,50.227657318115234
2018-04-03,50.227657318115234,50.60334279818786,49.26910575311874,50.25243655709297,45502000,50.1709602355957,51.415585327148435,53.78035945892334,54.482197265625,0.006895311825733552,0.022342991950742404,49.88369369506836,51.13862609863281,49.78902816772461,52.20026779174805,50.80902862548828
2018-04-04,50.80902862548828,50.986366749016106,49.21607488315495,49.23639590059362,49694000,50.36960678100586,51.05590591430664,53.60708732604981,54.3526692199707,0.011574724731654218,0.022542561109992112,50.227657318115234,49.88369369506836,51.13862609863281,49.8157958984375,50.94135665893555
2018-04-05,50.94135665893555,51.68381109657568,50.5607630173616,51.611451037706736,27260000,50.60007247924805,50.74331169128418,53.404299926757815,54.21175148010254,0.0026044196676666687,0.02225877461526973,50.80902862548828,50.227657318115234,49.88369369506836,49.78902816772461,49.91194152832031
2018-04-06,49.91194152832031,51.12028584892392,49.7131933472958,50.55427704510975,34928000,50.35473556518555,50.53494834899902,53.10949897766113,54.055925369262695,-0.020207846789543016,0.022115538756064097,50.94135665893555,50.80902862548828,50.227657318115234,51.13862609863281,50.32876205444336
2018-04-09,50.32876205444336,51.52570930571634,50.26086021046486,50.3956731826496,35032000,50.443749237060544,50.504615783691406,52.75118293762207,53.9023592376709,0.008351118256670897,0.02076352240427694,49.91194152832031,50.94135665893555,50.80902862548828,49.88369369506836,51.13119125366211
2018-04-10,51.13119125366211,51.3611621082627,50.12506262007764,50.87346144936616,39490000,50.62445602416992,50.397708129882815,52.42193603515625,53.75941940307617,0.015943749984367095,0.02124913629803651,50.32876205444336,49.91194152832031,50.94135665893555,50.227657318115234,50.55279541015625
2018-04-11,50.55279541015625,51.11751482044797,50.349585208746895,50.95029180710733,29678000,50.57320938110352,50.47140808105469,52.129018783569336,53.605169448852536,-0.011311996245822575,0.020927074576700923,51.13119125366211,50.32876205444336,49.91194152832031,50.80902862548828,51.17430877685547
2018-04-12,51.17430877685547,51.57973463623495,50.62539928862839,50.8040722349106,27140000,50.6197998046875,50.60993614196777,51.839124488830564,53.4751358795166,0.012294342215037224,0.02102324269806292,50.55279541015625,51.13119125366211,50.32876205444336,50.94135665893555,51.01372909545898
2018-04-13,51.01372909545898,51.8637330489473,50.70197501630287,51.58915350253646,24460000,50.84015731811523,50.59744644165039,51.54097843170166,53.33569519042969,-0.003137896441292365,0.020993505723657685,51.17430877685547,50.55279541015625,51.13119125366211,49.91194152832031,51.445411682128906
2018-04-16,51.445411682128906,51.70611360019518,50.88832695572494,51.39684014381432,24224000,51.06348724365235,50.753618240356445,51.29873886108398,53.20710876464844,0.008462086468177032,0.02114696333655322,51.01372909545898,51.17430877685547,50.55279541015625,50.32876205444336,53.23860931396485
2018-04-17,53.23860931396485,53.42298454979377,51.95492523649208,52.1090685149295,46406000,51.48497085571289,51.05471343994141,51.23514938354492,53.16969848632812,0.034856318050592305,0.02183600108504807,51.445411682128906,51.01372909545898,51.17430877685547,51.13119125366211,53.135520935058594
2018-04-18,53.135520935058594,53.40068111758173,52.8453281611132,53.40068111758173,26882000,52.00151596069336,51.28736267089844,51.17163429260254,53.18583625793457,-0.0019363462012749189,0.021836043123472263,53.23860931396485,51.445411682128906,51.01372909545898,50.55279541015625,53.90969467163086
2018-04-19,53.90969467163086,54.23011941134341,52.94222658759613,53.00269428818788,34954000,52.54859313964844,51.58419647216797,51.163754081726076,53.19287422180176,0.014569796681177749,0.02206569793690822,53.135520935058594,53.23860931396485,51.445411682128906,51.17430877685547,53.17913436889648
